Date last researched,Country/Area,Project Name,Unit Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Fuel,Status,Conversion/Replacement?,Unit conversion year,Start Year,Retired Year,Hydrogen Capable,Operator(s),Operator Name(s) in Local Language / Script,Owner(s),Owner Name(s) in Local Language / Script,Latitude,Longitude,Location Accuracy,City,"Local Area (taluk, county)","Major Area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM phase ID,Other IDs (location),Other IDs (unit/phase),Wiki URL,,
12.7.2024,China,Chongqing Beibei power station,2.Jan,重庆同兴垃圾焚烧发电厂,,12,bioenergy: refuse (municipal and industrial wastes),operating,,,2005,,,Chongqing Tongxing Waste Disposal CO LTD,重庆同兴垃圾处理有限公司,,,29.671572,106.430752,exact,Tongjiaxi,Beibei District,N/A,Chongqing,Eastern Asia,Asia,L100001018728,G100001020982,,,https://www.gem.wiki/Chongqing_Beibei_power_station,,
24.6.2024,China,Chongqing Bishan District power station,1.Jan,重庆璧山区垃圾焚烧发电项目,,15,bioenergy: refuse (municipal and industrial wastes),pre-construction,,,,,,Chongqing Sanfeng Zhengxing Environmental Protection Energy CO LTD,重庆三峰正兴环保能源有限公司,,,29.4881,106.0993,approximate,Zhengxing,Bishan District,N/A,Chongqing,Eastern Asia,Asia,L100000201903,G100000202347,,,https://www.gem.wiki/Chongqing_Bishan_District_power_station,,
24.6.2024,China,Chongqing Bishan District power station,2.Jan,重庆璧山区垃圾焚烧发电项目,,15,bioenergy: refuse (municipal and industrial wastes),pre-construction,,,,,,Chongqing Sanfeng Zhengxing Environmental Protection Energy CO LTD,重庆三峰正兴环保能源有限公司,,,29.4881,106.0993,approximate,Zhengxing,Bishan District,N/A,Chongqing,Eastern Asia,Asia,L100000201903,G100001018803,,,https://www.gem.wiki/Chongqing_Bishan_District_power_station,,
6.8.2024,China,Chongqing Hechuan District power station,1,合川生活垃圾焚烧发电项目,,25,bioenergy: refuse (municipal and industrial wastes),operating,,,2021,,,Chongqing Hechuan Sanfeng New Energy Power Generation CO LTD,重庆合川三峰新能源发电有限公司,,,30.051566,106.506534,exact,Shitan,Hechuan District,N/A,Chongqing,Eastern Asia,Asia,L100001019540,G100001022099,,,https://www.gem.wiki/Chongqing_Hechuan_District_power_station,,
26.7.2024,China,Chongqing Kaizhou District power station,1,重庆开州区垃圾焚烧发电厂,,12,"bioenergy: refuse (municipal and industrial wastes), bioenergy: wastewater and sewage sludge (solids or biogas)",operating,,,2018,,,Chongqing Green Energy New Energy CO LTD,重庆绿能新能源有限公司,,,31.119404,108.469089,exact,Qukou,Kaizhou District,N/A,Chongqing,Eastern Asia,Asia,L100001019181,G100001021626,,,https://www.gem.wiki/Chongqing_Kaizhou_District_power_station,,
11.7.2024,China,Chongqing Liangping power station,1,重庆市梁平区生活垃圾焚烧发电及厨余垃圾处理项目,,9,bioenergy: refuse (municipal and industrial wastes),operating,,,2023,,,Chongqing Haichuang Energy Technology CO LTD,重庆市海创能源科技有限责任公司,,,30.806997,107.535632,approximate,Fuping,Liangping District,N/A,Chongqing,Eastern Asia,Asia,L100001018711,G100001020939,,,https://www.gem.wiki/Chongqing_Liangping_power_station,,
15.7.2024,China,Chongqing Rongchang power station,1,重庆市荣昌区生活垃圾焚烧发电项目,,15,bioenergy: refuse (municipal and industrial wastes),operating,,,2022,,,Chongqing Rongchang Sanfeng New Energy Power Generation CO LTD,重庆荣昌三峰新能源发电有限公司,,,29.350557,105.508075,exact,Guangshun Residential District,Rongchang District,N/A,Chongqing,Eastern Asia,Asia,L100001018792,G100001021062,,,https://www.gem.wiki/Chongqing_Rongchang_power_station,,
1.8.2024,China,Chongqing Shizhu (Haichuang) power station,1,重庆市石柱县生活垃圾焚烧发电项目,,6,bioenergy: refuse (municipal and industrial wastes),operating,,,2020,,,Shizhu Haichuang Environmental Protection Technology CO LTD,石柱县海创环保科技有限责任公司,,,30.169939,108.112522,exact,Wanchao,Shizhu,N/A,Chongqing,Eastern Asia,Asia,L100001019391,G100001021900,,,https://www.gem.wiki/Chongqing_Shizhu_(Haichuang)_power_station,,
6.8.2024,China,Chongqing Wanzhou District power station,1,万州区生活垃圾焚烧发电项目,,15,bioenergy: refuse (municipal and industrial wastes),operating,,,2015,,,Chongqing Wanzhou District Sanfeng Environmental Protection Power Generation CO LTD,重庆市万州区三峰环保发电有限公司,,,30.651005,108.371784,exact,,Wanzhou District,N/A,Chongqing,Eastern Asia,Asia,L100001019528,G100001022084,,,https://www.gem.wiki/Chongqing_Wanzhou_District_power_station,,
3.7.2024,China,Chongqing Yunyang (CECEP) power station,1,重庆云阳县生活垃圾焚烧发电项目,,20,bioenergy: refuse (municipal and industrial wastes),construction,,,2025,,,CECEP (Yunyang County) Environmental Protection Technology CO LTD,中节能（云阳县）环保科技有限公司,,,31.005447,108.586524,approximate,Renhe Residential District,Yunyang,N/A,Chongqing,Eastern Asia,Asia,L100001018393,G100001020520,,,https://www.gem.wiki/Chongqing_Yunyang_(CECEP)_power_station,,
