reporter,partner,year,volume_mio_m3,unit
UA,TOTAL,2020,8988.0,MIO_M3
UK,TOTAL,2014,43820.0,MIO_M3
UK,TOTAL,2015,45276.153,MIO_M3
UK,TOTAL,2016,48243.028,MIO_M3
UK,TOTAL,2017,47155.774,MIO_M3
UK,TOTAL,2018,47160.385,MIO_M3
UK,TOTAL,2019,47380.347,MIO_M3
XK,TOTAL,2014,0.0,MIO_M3
XK,TOTAL,2015,0.0,MIO_M3
XK,TOTAL,2016,0.0,MIO_M3
XK,TOTAL,2017,0.0,MIO_M3
XK,TOTAL,2018,0.0,MIO_M3
XK,TOTAL,2019,0.0,MIO_M3
XK,TOTAL,2020,0.0,MIO_M3
XK,TOTAL,2021,0.0,MIO_M3
XK,TOTAL,2022,0.0,MIO_M3
XK,TOTAL,2023,0.0,MIO_M3
