STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,siec,Standard international energy product classification (SIEC),partner,Geopolitical entity (partner),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,CY,Cyprus,2019,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,CY,Cyprus,2020,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,CY,Cyprus,2021,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,CY,Cyprus,2022,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,CY,Cyprus,2023,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,CZ,Czechia,2014,,7249.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,CZ,Czechia,2015,,7474.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,CZ,Czechia,2016,,8123.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,CZ,Czechia,2017,,8889.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,CZ,Czechia,2018,,8007.991,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,CZ,Czechia,2019,,9533.193,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,CZ,Czechia,2020,,7589.967,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,CZ,Czechia,2021,,8718.897,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,CZ,Czechia,2022,,8612.009,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,CZ,Czechia,2023,,6808.332,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,DE,Germany,2014,,89896.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,DE,Germany,2015,,102517.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,DE,Germany,2016,,97379.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,DE,Germany,2017,,118694.443,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,DE,Germany,2018,,88347.545,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,DE,Germany,2019,,94786.760,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,DE,Germany,2020,,80439.019,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,DE,Germany,2021,,84808.432,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,DE,Germany,2022,,87694.613,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,DE,Germany,2023,,71591.397,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,DK,Denmark,2014,,624.999,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,DK,Denmark,2015,,661.672,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,DK,Denmark,2016,,683.855,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,DK,Denmark,2017,,520.291,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,DK,Denmark,2018,,389.005,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,DK,Denmark,2019,,1138.958,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,DK,Denmark,2020,,2666.482,,,,,
