Wiki URL,Country/Area,Plant name,Plant Name in Local Language / Script,Other Name(s),Unit name,Fuel,Capacity (MW),Status,Turbine/Engine Technology,Equipment Manufacturer/Model,CHP,Hydrogen capable?,CCS attachment?,Conversion/replacement?,Conversion from/replacement of (fuel),Conversion from/replacement of (GEM unit ID),Conversion to (fuel),Conversion to (GEM unit ID),Start year,Retired year,Planned retire,Operator(s),Owner(s),Parent(s),Latitude,Longitude,Location accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)",State/Province,Subregion,Region,Other IDs (location),Other IDs (unit),Captive industry use,Captive industry type,Captive non-industry use,GEM location ID,GEM unit ID
https://www.gem.wiki/El_Menia_Mobile_power_plant,Algeria,El Menia Mobile power plant,محطة كهرباء المنيعة المتنقلة,El Golea Power Plant,5,fossil gas: natural gas,20,construction,gas turbine,,not found,not found,not found,,,,,,,,,,Sonelgaz SpA [100%],Sonelgaz SpA [100.0%],30.538744,2.904764,exact,El Menia,,,Ghardaïa,Northern Africa,Africa,,,power,,power,L100000408941,G100000413303
https://www.gem.wiki/El_Menia_Mobile_power_plant,Algeria,El Menia Mobile power plant,محطة كهرباء المنيعة المتنقلة,El Golea Power Plant,6,fossil gas: natural gas,20,construction,gas turbine,,not found,not found,not found,,,,,,,,,,Sonelgaz SpA [100%],Sonelgaz SpA [100.0%],30.538744,2.904764,exact,El Menia,,,Ghardaïa,Northern Africa,Africa,,,power,,power,L100000408941,G100000413302
https://www.gem.wiki/El_Menia_Mobile_power_plant,Algeria,El Menia Mobile power plant,محطة كهرباء المنيعة المتنقلة,El Golea Power Plant,7,fossil gas: natural gas,20,construction,gas turbine,,not found,not found,not found,,,,,,,,,,Sonelgaz SpA [100%],Sonelgaz SpA [100.0%],30.538744,2.904764,exact,El Menia,,,Ghardaïa,Northern Africa,Africa,,,power,,power,L100000408941,G100000413301
https://www.gem.wiki/El_Menia_Mobile_power_plant,Algeria,El Menia Mobile power plant,محطة كهرباء المنيعة المتنقلة,El Golea Power Plant,8,fossil gas: natural gas,20,construction,gas turbine,,not found,not found,not found,,,,,,,,,,Sonelgaz SpA [100%],Sonelgaz SpA [100.0%],30.538744,2.904764,exact,El Menia,,,Ghardaïa,Northern Africa,Africa,,,power,,power,L100000408941,G100000413300
https://www.gem.wiki/Enchanted_Rock_Lodi_power_station,United States,Enchanted Rock Lodi power station,,,1,fossil gas: natural gas,48,construction,internal combustion,,,,,,,,,,2024,,,,Enchanted Rock LLC [100%],Enchanted Rock Holdings LLC,38.147724,-121.2997,exact,Lodi,San Joaquin,,California,Northern America,Americas,,,,,,L100001023563,G100001028106
https://www.gem.wiki/Ennis_power_station,Ireland,Ennis power station,,Clare county power station,IC1-11,fossil liquids: diesel,13.31,pre-construction,ICCC,,,,,,,,,,2025,,,,Art Data Centres Ltd,Art Data Centres Ltd,52.860081,-8.93594,exact,Ennis,Clare,,,Northern Europe,Europe,,,power,data center,,L100001026098,G100001046505
https://www.gem.wiki/Ennis_power_station,Ireland,Ennis power station,,Clare county power station,IC12-22,fossil liquids: diesel,13.31,pre-construction,ICCC,,,,,,,,,,2025,,,,Art Data Centres Ltd,Art Data Centres Ltd,52.860081,-8.93594,exact,Ennis,Clare,,,Northern Europe,Europe,,,power,data center,,L100001026098,G100001046506
https://www.gem.wiki/Ennis_power_station,Ireland,Ennis power station,,Clare county power station,IC23-33,fossil liquids: diesel,13.31,pre-construction,ICCC,,,,,,,,,,2025,,,,Art Data Centres Ltd,Art Data Centres Ltd,52.860081,-8.93594,exact,Ennis,Clare,,,Northern Europe,Europe,,,power,data center,,L100001026098,G100001046507
https://www.gem.wiki/Ennis_power_station,Ireland,Ennis power station,,Clare county power station,IC34-44,fossil liquids: diesel,13.31,pre-construction,ICCC,,,,,,,,,,2025,,,,Art Data Centres Ltd,Art Data Centres Ltd,52.860081,-8.93594,exact,Ennis,Clare,,,Northern Europe,Europe,,,power,data center,,L100001026098,G100001046508
https://www.gem.wiki/Ennis_power_station,Ireland,Ennis power station,,Clare county power station,IC45-55,fossil liquids: diesel,13.31,pre-construction,ICCC,,,,,,,,,,2025,,,,Art Data Centres Ltd,Art Data Centres Ltd,52.860081,-8.93594,exact,Ennis,Clare,,,Northern Europe,Europe,,,power,data center,,L100001026098,G100001046509
https://www.gem.wiki/Ennis_power_station,Ireland,Ennis power station,,Clare county power station,IC56-66,fossil liquids: diesel,13.31,pre-construction,ICCC,,,,,,,,,,2025,,,,Art Data Centres Ltd,Art Data Centres Ltd,52.860081,-8.93594,exact,Ennis,Clare,,,Northern Europe,Europe,,,power,data center,,L100001026098,G100001046510
https://www.gem.wiki/Entre_Ríos_power_station,Bolivia,Entre Ríos power station,Termoeléctrica de Entre Ríos,,Reserva Fría 1,fossil gas: natural gas,29.1,operating,gas turbine,Siemens Energy: SGT-700,,,,,,,,,2010,,,,ENDE Andina SAM [100%],Empresa Nacional de Electricidad Corp [60.0%]; Petróleos de Venezuela SA [40.0%],-17.196321,-64.514506,exact,Entre Ríos,,,Cochabamba,Latin America and the Caribbean,Americas,World Resources Institute: GEODB0044720,,,,,L100000406477,G100001027911
https://www.gem.wiki/Entre_Ríos_power_station,Bolivia,Entre Ríos power station,Termoeléctrica de Entre Ríos,,Reserva Fría 2,fossil gas: natural gas,29.1,operating,gas turbine,Siemens Energy: SGT-700,,,,,,,,,2010,,,,ENDE Andina SAM [100%],Empresa Nacional de Electricidad Corp [60.0%]; Petróleos de Venezuela SA [40.0%],-17.196321,-64.514506,exact,Entre Ríos,,,Cochabamba,Latin America and the Caribbean,Americas,World Resources Institute: GEODB0044720,,,,,L100000406477,G100001027912
https://www.gem.wiki/Entre_Ríos_power_station,Bolivia,Entre Ríos power station,Termoeléctrica de Entre Ríos,,Reserva Fría 3,fossil gas: natural gas,29.1,operating,gas turbine,Siemens Energy: SGT-700,,,,,,,,,2010,,,,ENDE Andina SAM [100%],Empresa Nacional de Electricidad Corp [60.0%]; Petróleos de Venezuela SA [40.0%],-17.196321,-64.514506,exact,Entre Ríos,,,Cochabamba,Latin America and the Caribbean,Americas,World Resources Institute: GEODB0044720,,,,,L100000406477,G100001027914
https://www.gem.wiki/Entre_Ríos_power_station,Bolivia,Entre Ríos power station,Termoeléctrica de Entre Ríos,,Reserva Fría 4,fossil gas: natural gas,29.1,operating,gas turbine,Siemens Energy: SGT-700,,,,,,,,,2010,,,,ENDE Andina SAM [100%],Empresa Nacional de Electricidad Corp [60.0%]; Petróleos de Venezuela SA [40.0%],-17.196321,-64.514506,exact,Entre Ríos,,,Cochabamba,Latin America and the Caribbean,Americas,World Resources Institute: GEODB0044720,,,,,L100000406477,G100001027915
https://www.gem.wiki/Equatorial_Guinea_power_station,Equatorial Guinea,Equatorial Guinea power station,,,1,"fossil gas: natural gas, fossil liquids: light fuel oil",40,operating,internal combustion,,not found,not found,not found,,,,,,2018,,,,Sociedad de Electricidad de Guinea Ecuatorial SA,Sociedad de Electricidad de Guinea Ecuatorial SA,1.692843,10.051647,approximate,,,,,Sub-Saharan Africa,Africa,,,,,,L100000409139,G100000413992
https://www.gem.wiki/Eslamabad-e-Gharb_Power_Plant,Iran,Eslamabad-e-Gharb Power Plant,,,1,fossil gas: natural gas,25,operating,gas turbine,,not found,not found,not found,,,,,,2016,,,,Thermal Power Plants Holding Co [100%],Thermal Power Plants Holding Co [100.0%],34.109452,46.523108,approximate,Eslamabad-e-Gharb,,,Kermanshah,Southern Asia,Asia,,,,,power,L100000409018,G100000413876
https://www.gem.wiki/Eslamabad-e-Gharb_Power_Plant,Iran,Eslamabad-e-Gharb Power Plant,,,2,fossil gas: natural gas,25,operating,gas turbine,,not found,not found,not found,,,,,,2016,,,,Thermal Power Plants Holding Co [100%],Thermal Power Plants Holding Co [100.0%],34.109452,46.523108,approximate,Eslamabad-e-Gharb,,,Kermanshah,Southern Asia,Asia,,,,,power,L100000409018,G100000413875
https://www.gem.wiki/Eslamabad-e-Gharb_Power_Plant,Iran,Eslamabad-e-Gharb Power Plant,,,3,fossil gas: natural gas,25,operating,gas turbine,,not found,not found,not found,,,,,,2016,,,,Thermal Power Plants Holding Co [100%],Thermal Power Plants Holding Co [100.0%],34.109452,46.523108,approximate,Eslamabad-e-Gharb,,,Kermanshah,Southern Asia,Asia,,,,,power,L100000409018,G100000413874
https://www.gem.wiki/Eslamabad-e-Gharb_Power_Plant,Iran,Eslamabad-e-Gharb Power Plant,,,4,fossil gas: natural gas,25,operating,gas turbine,,not found,not found,not found,,,,,,2016,,,,Thermal Power Plants Holding Co [100%],Thermal Power Plants Holding Co [100.0%],34.109452,46.523108,approximate,Eslamabad-e-Gharb,,,Kermanshah,Southern Asia,Asia,,,,,power,L100000409018,G100000413873
https://www.gem.wiki/Fajr-e-Jam_Refining_power_plant,Iran,Fajr-e-Jam Refining power plant,,,1,fossil gas: natural gas,28,operating,gas turbine,,not found,not found,not found,,,,,,,,,,National Iranian Gas Co [100%],National Iranian Gas Co [100.0%],28.762137,51.515396,exact,Fajr Jam Gas Refinery,Yakh,,Bushehr,Southern Asia,Asia,,,power,oil & refining,,L100000409023,G100000413872
https://www.gem.wiki/Fajr-e-Jam_Refining_power_plant,Iran,Fajr-e-Jam Refining power plant,,,2,fossil gas: natural gas,28,operating,gas turbine,,not found,not found,not found,,,,,,,,,,National Iranian Gas Co [100%],National Iranian Gas Co [100.0%],28.762137,51.515396,exact,Fajr Jam Gas Refinery,Yakh,,Bushehr,Southern Asia,Asia,,,power,oil & refining,,L100000409023,G100000413871
https://www.gem.wiki/Fajr-e-Jam_Refining_power_plant,Iran,Fajr-e-Jam Refining power plant,,,3,fossil gas: natural gas,28,operating,gas turbine,,not found,not found,not found,,,,,,,,,,National Iranian Gas Co [100%],National Iranian Gas Co [100.0%],28.762137,51.515396,exact,Fajr Jam Gas Refinery,Yakh,,Bushehr,Southern Asia,Asia,,,power,oil & refining,,L100000409023,G100000413870
https://www.gem.wiki/Farcha_power_station,Chad,Farcha power station,,,1,fossil liquids: diesel,7,operating,unknown,,not found,not found,not found,,,,,,,,,,Societe Nationale d'Electricite du Tchad,Societe Nationale d'Electricite du Tchad,12.13501,14.99649,exact,N'Djamena,,,,Sub-Saharan Africa,Africa,,,,,,L100000409051,G100000413527
https://www.gem.wiki/Fazelabad_power_plant,Iran,Fazelabad power plant,,,1,"fossil gas: natural gas, fossil liquids: diesel",9.3,operating,gas turbine,,yes,not found,not found,,,,,,,,,,Taban Energy Co [100%],Pasargad Arzesh Afarinan Co [56.7%]; Pars Aryan Investment Co,37.059407,55.205473,exact,Fazelabad,Gorgan,,Golestan,Southern Asia,Asia,,,power,industrial park,power,L100000409022,G100000413869
https://www.gem.wiki/Fazelabad_power_plant,Iran,Fazelabad power plant,,,2,"fossil gas: natural gas, fossil liquids: diesel",9.3,operating,gas turbine,,yes,not found,not found,,,,,,,,,,Taban Energy Co [100%],Pasargad Arzesh Afarinan Co [56.7%]; Pars Aryan Investment Co,37.059407,55.205473,exact,Fazelabad,Gorgan,,Golestan,Southern Asia,Asia,,,power,industrial park,power,L100000409022,G100000413868
https://www.gem.wiki/Fazelabad_power_plant,Iran,Fazelabad power plant,,,3,"fossil gas: natural gas, fossil liquids: diesel",9.3,operating,gas turbine,,yes,not found,not found,,,,,,,,,,Taban Energy Co [100%],Pasargad Arzesh Afarinan Co [56.7%]; Pars Aryan Investment Co,37.059407,55.205473,exact,Fazelabad,Gorgan,,Golestan,Southern Asia,Asia,,,power,industrial park,power,L100000409022,G100000413867
