Date Last Researched,Country 1,Country 2,Project Name,Project Name (local lang/script),Other name(s),Capacity (MW),Binational,Country 1 Capacity (MW),Country 2 Capacity (MW),Turbines,Status,Complex,Start Year,Retired Year,Owner,Owner Name (local lang/script),Operator,Operator Name (local lang/script),Technology Type,River / Watercourse,Latitude,Longitude,Location Accuracy,City 1,Local Area 1,Major Area 1,State/Province 1,Subregion 1,Region 1,City 2,Local Area 2,Major Area 2,State/Province 2,Subregion 2,Region 2,GEM location ID,GEM unit ID,Wiki URL
2023-11-21,Nepal,,Ankhu Khola hydroelectric plant,,,43,No,43,0,,pre-construction,,,,,,Ankhu Khola Hydropower CO LTD,,run-of-river,Ankhu Khola River,28.0917,84.9992,approximate,Gangajamuna Rural Municipality,Dhading District,Bagmati Zone,Bagmati Province,Southern Asia,Asia,,,,,,,L602575,G602606,
2023-11-21,Nepal,,Badigad Khola hydroelectric plant,,,25,No,25,0,,pre-construction,,2025,,Liberty Energy CO,,,,run-of-river,Badigad Khola River,28.2912,83.1786,approximate,Badigad Rural Municipality,Baglung District,Gandaki Zone,Gandaki Province,Southern Asia,Asia,,,,,,,L602578,G602609,
2022-12-15,Nepal,,Bagmati Nadi hydroelectric plant,,,22,No,22,0,,operating,,2019,,Sichuan Hechuan Investment CO LTD,,Mandu Hydropower CO LTD,,unknown,Bagmati Nadi River,27.5363,85.2341,exact,Ghushel,Lalitpur,,,Southern Asia,Asia,,,,,,,L602579,G602610,
2023-11-21,Nepal,,Bhotekoshi 1 hydroelectric plant,,,40,No,40,0,,pre-construction,,,,Shailung Power CO LTD,,,,unknown,Bhotekoshi River,27.8979,85.919,approximate,Phulping Katti Village,Sindhupalchok District,Bagmati Zone,Bagmati Province,Southern Asia,Asia,,,,,,,L602585,G602616,
2023-11-21,Nepal,,Botekoshi 5 hydroelectric plant,,"Bote Koshi 5, Bhotekoshi 5",62,No,62,0,2,pre-construction,,2028,,Kalika Energy,,,,run-of-river,Bhotekoshi River,27.789,85.8838,approximate,Ramche Village,Rasuwa District,Bagmati Zone,Bagmati Province,Southern Asia,Asia,,,,,,,L602586,G602617,
2023-11-21,Nepal,,Budum Khola hydroelectric plant,,Budum hydroelectric plant,15,No,15,0,,pre-construction,,,,Arun Valley Hydropower Development CO PVT LTD,,,,run-of-river,Budum Khola River,27.4865,86.8479,approximate,Mahakulung Rural Municipality,Solukhumbu District,Solukhumbu District,Province No. 1,Southern Asia,Asia,,,,,,,L602591,G602622,
2022-12-15,Nepal,,Chameliya Khola hydroelectric plant,,Chhetigad hydroelectric plant,30,No,30,0,2,operating,,2018,,Nepal Electricity Authority (NEA),,,,run-of-river,Chamaliya Nadi River,29.7103,80.6875,exact,Latinath,Darchula District (Nepal),,,Southern Asia,Asia,,,,,,,L602593,G602624,
2022-12-15,Nepal,,Chilime hydroelectric plant,,,22,No,22,0,2 x 11 MW,operating,,2003,,Nepal Electricity Authority (NEA),,Chilime Hydropower CO LTD (CHPCL),,run-of-river,Chilime Khola River,28.1577,85.3332,exact,,Rasuwa,,,Southern Asia,Asia,,,,,,,L602594,G602625,
2023-11-21,Nepal,,Chunchet Syar Khola hydroelectric plant,,,56,No,56,0,,pre-construction,,,,Chilime Hydropower CO LTD (CHPCL),,,,run-of-river,Syar Khola River,28.4576,84.9336,approximate,Chumchet Village,Gorkha District,Gandaki Zone,Gandaki Province,Southern Asia,Asia,,,,,,,L602595,G602626,
2022-12-15,Nepal,,Devighat hydroelectric plant,,,14,No,14,0,3,operating,,1984,,Nepal Electricity Authority (NEA),,,,run-of-river,Trishuli River,27.8884,85.1345,exact,Charghare,Nuwakot,,,Southern Asia,Asia,,,,,,,L602597,G602628,
