Region,Country,Solar_capacity,Wind_capacity,Nuclear_capacity,Coal_capacity,Hydro_capacity,Oil_capacity,Gas_capacity,Bio_capacity,Geo_capacity,total_capacity,Solar_generation,Wind_generation,Nuclear_generation,Coal_generation,Hydro_generation,Gas_generation,Oil_generation,Bio_generation,Geo_generation,total_generation,ISO_A3
Europe,Netherlands,4476.5,11454.1,515,3500.0,,107.0,14878.0,1580.0,,36510.6,4.7056968,30.101374800000002,3.15798,12.264,,58.649076,0.3093156,6.9204,,116.1078432,NLD
Europe,Ukraine,5628.7,526.7,13835,4742.0,6247.0,,3099.0,,,34078.4,5.916889439999999,1.3841676,84.83622,16.615968000000002,19.153302,12.216258,,,,140.12280504,UKR
Americas,Chile,10639.0,5123.4,,3826.0,5551.0,1937.0,5238.0,910.0,81.0,33305.4,17.707551600000002,14.810724720000001,,16.75788,21.882042000000002,16.059708,5.938841999999999,3.9858,0.53217,97.67471832,CHL
Europe,Norway,1.4,5834.4,,,23945.0,,523.0,,,30303.8,0.0014716799999999997,15.332803199999999,,,73.41537,2.061666,,,,90.81131088,NOR
Asia,Philippines,3512.1,835.0,,12492.4,3282.0,2691.0,3318.0,303.0,1732.0,28165.5,4.6148994,1.82865,,60.188383200000004,11.500128000000002,11.626272,9.429264,1.32714,12.137856000000001,112.6525926,PHL
Asia,Bangladesh,1028.7,60.0,,6035.0,230.0,7311.6,12823.0,42.0,,27530.3,1.3517118000000001,0.1314,,29.076630000000005,0.80592,44.93179200000001,25.619846400000004,0.18396,,102.10126020000001,BGD
Africa,Algeria,475.3,10.0,,,100.0,,26725.0,,,27310.3,0.66618048,0.0219,,,0.1752,70.2333,,,,71.09658048,DZA
Asia,Kazakhstan,1239.2,1224.9,,13421.0,2568.0,,4182.0,,,22635.1,1.6283088000000001,2.682531,,64.662378,8.998272,14.653728000000001,,,,92.6252178,KAZ
Asia,Uzbekistan,1472.0,1000.0,,2493.0,1543.0,,14449.0,,,20957.0,1.9342079999999997,2.19,,12.011274,5.406672,50.629296,,,,72.17145,UZB
Asia,Israel,2113.5,331.0,,4325.0,300.0,,13783.0,,,20852.5,2.777139,0.72489,,20.83785,1.0512,48.295632000000005,,,,73.686711,ISR
Asia,Kuwait,70.0,10.0,,,,,20338.0,,,20418.0,0.09198,0.0219,,,,71.264352,,,,71.378232,KWT
Americas,Colombia,3489.4,109.9,,1646.0,10586.0,,4307.0,71.0,,20209.3,5.80775736,0.31769892000000005,,7.20948,41.730012,13.205261999999998,,0.31098,,68.58119028,COL
